19.06.2023. 00:26:12 | INFO  | [c.S.I.ItCompanyApplication] | Starting ItCompanyApplication using Java 17 with PID 3692 (C:\Users\HP\Desktop\8.semestar\bezbednost\projekat\Employees-and-project-management-IT-company\IT-Company\target\classes started by HP in C:\Users\HP\Desktop\8.semestar\bezbednost\projekat\Employees-and-project-management-IT-company\IT-Company)
19.06.2023. 00:26:30 | INFO  | [o.s.w.s.DispatcherServlet] | Completed initialization in 5 ms
19.06.2023. 00:26:38 | INFO  | [c.S.I.s.AuthenticationService] | Login success! Email: kralusdanijela@gmail.com
19.06.2023. 00:27:09 | INFO  | [c.S.I.c.UserController] | Permissions saved successfully. Admin:kralusdanijela@gmail.com
19.06.2023. 00:27:25 | INFO  | [o.s.w.s.c.WebSocketMessageBrokerStats] | WebSocketSession[3 current WS(3)-HttpStream(0)-HttpPoll(0), 3 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(3)-CONNECTED(3)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 8, active threads = 0, queued tasks = 0, completed tasks = 30], outboundChannel[pool size = 8, active threads = 0, queued tasks = 0, completed tasks = 12], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 4, completed tasks = 11]
19.06.2023. 00:30:42 | ERROR | [c.S.I.s.AuthenticationService] | Email or password are not correct. Email: kralusdanijela@gmail.com
19.06.2023. 00:31:01 | INFO  | [c.S.I.s.AuthenticationService] | Login success! Email: kralusdanijela@gmail.com
19.06.2023. 00:31:45 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | Stopping...
19.06.2023. 00:31:45 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@71586f]]
19.06.2023. 00:31:45 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | Stopped.
19.06.2023. 00:31:45 | INFO  | [o.s.o.j.LocalContainerEntityManagerFactoryBean] | Closing JPA EntityManagerFactory for persistence unit 'default'
19.06.2023. 00:31:45 | INFO  | [c.z.h.HikariDataSource] | HikariPool-1 - Shutdown initiated...
19.06.2023. 00:31:45 | INFO  | [c.z.h.HikariDataSource] | HikariPool-1 - Shutdown completed.
19.06.2023. 00:34:58 | INFO  | [c.S.I.ItCompanyApplication] | Starting ItCompanyApplication using Java 17 with PID 12628 (C:\Users\HP\Desktop\8.semestar\bezbednost\projekat\Employees-and-project-management-IT-company\IT-Company\target\classes started by HP in C:\Users\HP\Desktop\8.semestar\bezbednost\projekat\Employees-and-project-management-IT-company\IT-Company)
19.06.2023. 00:34:58 | DEBUG | [c.S.I.ItCompanyApplication] | Running with Spring Boot v3.0.1, Spring v6.0.3
19.06.2023. 00:34:58 | INFO  | [c.S.I.ItCompanyApplication] | No active profile set, falling back to 1 default profile: "default"
19.06.2023. 00:35:01 | INFO  | [o.s.d.r.c.RepositoryConfigurationDelegate] | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
19.06.2023. 00:35:01 | INFO  | [o.s.d.r.c.RepositoryConfigurationDelegate] | Finished Spring Data repository scanning in 265 ms. Found 12 JPA repository interfaces.
19.06.2023. 00:35:03 | INFO  | [o.s.b.w.e.t.TomcatWebServer] | Tomcat initialized with port(s): 8081 (https)
19.06.2023. 00:35:03 | INFO  | [o.a.c.h.Http11NioProtocol] | Initializing ProtocolHandler ["https-jsse-nio-8081"]
19.06.2023. 00:35:03 | INFO  | [o.a.c.c.StandardService] | Starting service [Tomcat]
19.06.2023. 00:35:03 | INFO  | [o.a.c.c.StandardEngine] | Starting Servlet engine: [Apache Tomcat/10.1.4]
19.06.2023. 00:35:04 | INFO  | [o.a.c.c.C.[.[.[/]   ] | Initializing Spring embedded WebApplicationContext
19.06.2023. 00:35:04 | INFO  | [o.s.b.w.s.c.ServletWebServerApplicationContext] | Root WebApplicationContext: initialization completed in 4946 ms
19.06.2023. 00:35:04 | INFO  | [o.h.j.i.u.LogHelper ] | HHH000204: Processing PersistenceUnitInfo [name: default]
19.06.2023. 00:35:04 | INFO  | [o.h.Version         ] | HHH000412: Hibernate ORM core version 6.1.6.Final
19.06.2023. 00:35:04 | WARN  | [o.h.o.deprecation   ] | HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
19.06.2023. 00:35:05 | INFO  | [c.z.h.HikariDataSource] | HikariPool-1 - Starting...
19.06.2023. 00:35:05 | INFO  | [c.z.h.p.HikariPool  ] | HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1c2d63f0
19.06.2023. 00:35:05 | INFO  | [c.z.h.HikariDataSource] | HikariPool-1 - Start completed.
19.06.2023. 00:35:05 | INFO  | [SQL dialect         ] | HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
19.06.2023. 00:35:08 | INFO  | [o.h.e.t.j.p.i.JtaPlatformInitiator] | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
19.06.2023. 00:35:08 | INFO  | [o.s.o.j.LocalContainerEntityManagerFactoryBean] | Initialized JPA EntityManagerFactory for persistence unit 'default'
19.06.2023. 00:35:10 | DEBUG | [c.S.I.c.JwtAuthenticationFilter] | Filter 'jwtAuthenticationFilter' configured for use
19.06.2023. 00:35:11 | WARN  | [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
19.06.2023. 00:35:11 | INFO  | [o.s.s.w.DefaultSecurityFilterChain] | Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@480b785a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@35427786, org.springframework.security.web.context.SecurityContextHolderFilter@1ff55410, org.springframework.security.web.header.HeaderWriterFilter@3c2406dd, org.springframework.web.filter.CorsFilter@6554f841, org.springframework.security.web.authentication.logout.LogoutFilter@1fce17b8, com.SIEBS.ITCompany.config.JwtAuthenticationFilter@26fee641, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@43e7ca6f, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5f0c04d2, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1bef1304, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@505e8d48, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3841e77a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@835718b, org.springframework.security.web.session.SessionManagementFilter@7207cb8b, org.springframework.security.web.access.ExceptionTranslationFilter@43c25e89, org.springframework.security.web.access.intercept.AuthorizationFilter@b24e21f]
19.06.2023. 00:35:12 | INFO  | [o.a.c.h.Http11NioProtocol] | Starting ProtocolHandler ["https-jsse-nio-8081"]
19.06.2023. 00:35:12 | INFO  | [o.s.b.w.e.t.TomcatWebServer] | Tomcat started on port(s): 8081 (https) with context path ''
19.06.2023. 00:35:12 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | Starting...
19.06.2023. 00:35:12 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@7b01f056]]
19.06.2023. 00:35:12 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | Started.
19.06.2023. 00:35:12 | INFO  | [c.S.I.ItCompanyApplication] | Started ItCompanyApplication in 15.069 seconds (process running for 16.425)
19.06.2023. 00:35:22 | INFO  | [o.a.c.c.C.[.[.[/]   ] | Initializing Spring DispatcherServlet 'dispatcherServlet'
19.06.2023. 00:35:22 | INFO  | [o.s.w.s.DispatcherServlet] | Initializing Servlet 'dispatcherServlet'
19.06.2023. 00:35:22 | INFO  | [o.s.w.s.DispatcherServlet] | Completed initialization in 4 ms
19.06.2023. 00:35:22 | INFO  | [c.S.I.s.AuthenticationService] | Login success! Email: kralusdanijela@gmail.com
19.06.2023. 00:35:57 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | Stopping...
19.06.2023. 00:35:57 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@7b01f056]]
19.06.2023. 00:35:57 | INFO  | [o.s.m.s.b.SimpleBrokerMessageHandler] | Stopped.
19.06.2023. 00:35:57 | INFO  | [o.s.o.j.LocalContainerEntityManagerFactoryBean] | Closing JPA EntityManagerFactory for persistence unit 'default'
19.06.2023. 00:35:57 | INFO  | [c.z.h.HikariDataSource] | HikariPool-1 - Shutdown initiated...
19.06.2023. 00:35:57 | INFO  | [c.z.h.HikariDataSource] | HikariPool-1 - Shutdown completed.
